ID,Name,Career Growth,JoinedYear,Tenure,Age,Maritial Status,Total Salary,Promotions,Training,Gender,Working Hours,Experience,Performance Rating,No.of Leaves,Participation of Activities,churn
E001,EQXRWCKNO,0,2013,2,41,1,60000.0,0,0,0,10,0,5,2,0.0,1
E0010,UXKPIYYSN,0,2007,8,29,1,54000.0,0,0,1,8,0,1,18,0.0,1
E00100,XFYXIPBAPCQ,0,2004,11,26,1,24000.0,0,0,1,9,0,1,12,0.0,1
E001000,IMQSIBF,0,2003,12,49,0,36000.0,0,0,0,9,0,5,2,0.0,1
E0010000,XTZLXROB,0,2008,7,32,0,60000.0,0,0,1,10,0,1,15,0.0,1
E0010001,KDGHTKTKDNGEOXKI,0,2013,2,22,0,24000.0,0,0,1,8,0,3,0,0.0,1
E0010002,BTATBGUH,0,2006,9,48,0,90000.0,0,0,0,9,0,4,5,0.0,1
E0010003,WZBXMIH,0,2009,6,27,0,54000.0,0,0,1,10,0,2,11,0.0,1
E0010004,MJVWKGZUW,0,2002,13,46,0,18000.0,0,0,1,10,0,2,10,0.0,0
E0010005,XSGROFPCQ,0,2000,15,44,1,18000.0,0,0,0,10,0,5,13,0.0,1
E0010006,AVOUIHP,0,2011,4,23,1,36000.0,0,0,1,9,0,5,14,0.0,1
E0010007,EYMKESKWF,0,1996,19,23,0,24000.0,0,0,0,8,0,2,4,0.0,1
E0010008,IUFPFMB,0,2001,14,26,0,54000.0,0,0,0,9,0,3,14,0.0,1
E0010009,TXDUUWVR,0,2015,0,26,1,18000.0,0,0,0,8,0,1,18,0.0,1
E001001,DNEXMJKJVSQBPI,0,1996,19,45,1,60000.0,0,0,0,8,0,5,3,0.0,0
E0010010,USYXHJCO,0,2000,15,46,1,90000.0,0,0,1,8,0,1,7,0.0,1
E0010011,VKDXSCZLY,0,2005,10,41,0,54000.0,0,0,0,8,0,2,3,0.0,1
E0010012,GFOGAIKU,0,1998,17,39,0,54000.0,0,0,0,8,0,1,14,0.0,0
E0010013,KBBISKZGBEL,0,2001,14,49,0,90000.0,0,0,0,9,0,2,9,0.0,0
E0010014,IKBEMADJ,0,2009,6,23,0,54000.0,0,0,1,10,0,3,19,0.0,1
E0010015,UASALSLUB,0,2011,4,46,1,24000.0,0,0,0,10,0,2,13,0.0,1
E0010016,OQLUBG,0,1997,18,42,0,54000.0,0,0,0,10,0,1,8,0.0,1
E0010017,SFNJCKK,0,2003,12,39,0,24000.0,0,0,0,8,0,2,0,0.0,1
E0010018,SMNBQPXKRU,0,2000,15,33,1,24000.0,0,0,0,10,0,5,20,0.0,1
E0010019,HBPHLAQZH,0,2008,7,20,0,18000.0,0,0,0,10,0,5,8,0.0,0
E001002,SHBDBLMQ,0,2013,2,47,1,180000.0,0,0,0,10,0,3,3,0.0,1
E0010020,MBUWJZQIZ,0,2008,7,47,0,54000.0,0,0,0,9,0,2,0,0.0,1
E0010021,DWSZKOWYJPQ,0,2015,0,21,1,54000.0,0,0,0,8,0,5,10,0.0,0
